commit type,deleted lines count
Other,3
Other,1
Other,8
Other,0
Other,7
Other,1
Other,10
Other,0
Other,0
Other,0
Other,0
Other,3
Other,0
Other,0
Other,4
Other,0
Other,0
Multi-lang,16
Multi-lang,4
Other,0
Other,0
Multi-lang,1
Other,1
Other,34
Multi-lang,73
Multi-lang,13
Multi-lang,94
Multi-lang,93
Multi-lang,72
Other,1
Other,652
Other,1
Other,0
Multi-lang,7
Multi-lang,836
Other,13
Other,10
Other,45
Other,190
Other,1
Other,1
Other,6
Multi-lang,130
Multi-lang,9
Multi-lang,40
Other,4
Other,0
Other,12
Multi-lang,4
Multi-lang,6
Multi-lang,473
Other,2
Multi-lang,72
Other,4
Other,2
Other,3
Other,2
Other,0
Other,1
Other,1
Other,8
Multi-lang,127
Multi-lang,1
Other,29
Multi-lang,38
Multi-lang,28
Multi-lang,15
Multi-lang,76
Other,1
Multi-lang,6
Multi-lang,120
Other,86
Multi-lang,29
Multi-lang,1584
Other,2
Multi-lang,1
Multi-lang,46
Other,8
Other,20
Other,16
Other,1
Multi-lang,18
Other,174
Multi-lang,27
Other,12
Multi-lang,161
Other,1
Other,2
Other,11
Multi-lang,99
Other,9
Other,0
Other,1
Other,2
Other,1
Other,3
Other,0
Other,1
Other,1
Other,0
Other,22
Other,22
Other,0
Other,0
Other,19
Other,4
Other,2
Other,11
Other,1
Other,1
Other,1
Other,1
Other,0
Other,13
Other,3
Other,0
Other,5
Other,2
Other,8
Other,5
Multi-lang,4
Multi-lang,4
Multi-lang,122
Other,19
Other,4
Other,6
Multi-lang,65
Multi-lang,127
Multi-lang,70
Other,4
Multi-lang,289
Multi-lang,181
Other,20
Other,105
Multi-lang,40
Multi-lang,19
Multi-lang,11
Multi-lang,22
Multi-lang,5
Other,4
Multi-lang,39
Other,0
Other,0
Multi-lang,9844
Multi-lang,33
Multi-lang,52
Other,6
Other,1
Multi-lang,171
Multi-lang,52
Other,0
Multi-lang,12
Multi-lang,232
Multi-lang,469
Other,21
Multi-lang,92
Multi-lang,106
Multi-lang,8
Other,32
Other,0
Other,3
Other,8
Multi-lang,1849
Multi-lang,86
Multi-lang,54
Multi-lang,14
Multi-lang,282
Multi-lang,202
Other,3
Other,1
Multi-lang,7
Multi-lang,7
Multi-lang,19
Multi-lang,44
Other,250
Multi-lang,0
Other,3
Other,839
Other,1782
